input_row	diagnostic
1	region-v2: exact_nlo_success:continue_region_v1
1	region-v1: accepted_early_failure:coexistence:no_coex_pair
2	region-v2: exact_nlo_reject:no_nlo_stability
3	region-v2: exact_nlo_success:continue_region_v1
3	region-v1: accepted_positive_shadow
4	region-v2: exact_nlo_success:continue_region_v1
4	region-v1: accepted_early_failure:coexistence:no_coex_pair
5	region-v2: exact_nlo_success:continue_region_v1
5	region-v1: accepted_positive_shadow
6	region-v2: exact_nlo_success:continue_region_v1
6	region-v1: accepted_positive_shadow
7	region-v2: exact_nlo_success:continue_region_v1
7	region-v1: accepted_early_failure:coexistence:no_coex_pair
8	region-v2: exact_nlo_success:continue_region_v1
8	region-v1: accepted_positive_shadow
9	region-v2: exact_nlo_success:continue_region_v1
9	region-v1: accepted_positive_shadow
10	region-v2: exact_nlo_success:continue_region_v1
10	region-v1: accepted_early_failure:coexistence:no_coex_pair
