input_row	diagnostic
1	region-v2: exact_nlo_success:continue_region_v1
1	region-v1: accepted_positive_all_three_shadow
2	region-v2: exact_nlo_success:continue_region_v1
2	region-v1: accepted_positive_all_three_shadow
3	region-v2: exact_nlo_success:continue_region_v1
3	region-v1: accepted_positive_all_three_shadow
4	region-v2: exact_nlo_success:continue_region_v1
4	region-v1: accepted_positive_all_three_shadow
5	region-v2: exact_nlo_success:continue_region_v1
5	region-v1: accepted_positive_all_three_shadow
6	region-v2: exact_nlo_success:continue_region_v1
6	region-v1: accepted_positive_all_three_shadow
7	region-v2: exact_nlo_success:continue_region_v1
7	region-v1: accepted_positive_all_three_shadow
8	region-v2: exact_nlo_success:continue_region_v1
8	region-v1: accepted_positive_all_three_shadow
9	region-v2: exact_nlo_success:continue_region_v1
9	region-v1: accepted_positive_all_three_shadow
10	region-v2: exact_nlo_success:continue_region_v1
10	region-v1: accepted_positive_all_three_shadow
